noteInRange,tickStart,tickEnd,pitch,velocity
11,480,960,58,90
8,960,1440,63,90
6,1440,1920,66,110
5,1920,2400,68,110
6,2400,2880,66,90
6,2880,3360,66,110
6,3360,3840,66,70
3,3840,4320,71,90
4,4320,4800,70,90
4,4800,5280,70,70
6,5280,5760,66,70
4,5760,6240,70,90
7,6240,6720,65,70
10,6720,7200,59,90
10,7200,7680,59,90
9,7680,8160,62,90
8,8160,8640,63,90
6,8640,9120,66,90
6,9120,9600,66,110
10,9600,10080,59,110
9,10080,10560,62,110
10,10560,11040,59,90
12,11040,11520,56,70
14,11520,12000,53,90
11,12000,12480,58,90
10,12480,12960,59,110
11,12960,13440,58,110
12,13440,13920,56,70
14,13920,14400,53,90
16,14400,14880,50,90
12,14880,15360,56,70
14,15360,15840,53,90
15,15840,16320,51,90
14,16320,16800,53,90
13,16800,17280,54,70
10,17280,17760,59,90
8,17760,18240,63,70
10,18240,18720,59,110
10,18720,19200,59,90
9,19200,19680,62,90
7,19680,20160,65,70
9,20160,20640,62,90
7,20640,21120,65,70
6,21120,21600,66,70
7,21600,22080,65,70
8,22080,22560,63,110
10,22560,23040,59,90
9,23040,23520,62,90
10,23520,24000,59,90
10,24000,24480,59,90
10,24480,24960,59,90
12,24960,25440,56,90
13,25440,25920,54,90
13,25920,26400,54,70
12,26400,26880,56,90
14,26880,27360,53,90
15,27360,27840,51,110
15,27840,28320,51,90
14,28320,28800,53,110
10,28800,29280,59,90
12,29280,29760,56,90
11,29760,30240,58,90
10,30240,30720,59,90
8,30720,31200,63,90
10,31200,31680,59,110
9,31680,32160,62,110
11,32160,32640,58,90
12,32640,33120,56,70
12,33120,33600,56,90
11,33600,34080,58,90
10,34080,34560,59,70
8,34560,35040,63,110
8,35040,35520,63,90
10,35520,36000,59,90
10,36000,36480,59,90
12,36480,36960,56,110
11,36960,37440,58,110
11,37440,37920,58,110
10,37920,38400,59,90
9,38400,38880,62,110
6,38880,39360,66,70
9,39360,39840,62,70
11,39840,40320,58,90
8,40320,40800,63,70
7,40800,41280,65,90
8,41280,41760,63,110
7,41760,42240,65,110
8,42240,42720,63,90
11,42720,43200,58,90
9,43200,43680,62,110
11,43680,44160,58,90
10,44160,44640,59,110
11,44640,45120,58,90
10,45120,45600,59,90
8,45600,46080,63,110
7,46080,46560,65,90
10,46560,47040,59,90
10,47040,47520,59,90
10,47520,48000,59,110
8,48000,48480,63,90
8,48480,48960,63,110
9,48960,49440,62,110
12,49440,49920,56,110
11,49920,50400,58,110
12,50400,50880,56,110
11,50880,51360,58,110
10,51360,51840,59,70
12,51840,52320,56,70
13,52320,52800,54,70
10,52800,53280,59,110
12,53280,53760,56,110
10,53760,54240,59,90
10,54240,54720,59,90
10,54720,55200,59,90
7,55200,55680,65,90
5,55680,56160,68,70
7,56160,56640,65,90
8,56640,57120,63,90
9,57120,57600,62,70
10,57600,58080,59,70
8,58080,58560,63,90
10,58560,59040,59,70
14,59040,59520,53,90
13,59520,60000,54,90
10,60000,60480,59,90
12,60480,60960,56,90
8,60960,61440,63,110
11,61440,61920,58,70
9,61920,62400,62,90
7,62400,62880,65,70
9,62880,63360,62,90
10,63360,63840,59,90
11,63840,64320,58,110
11,64320,64800,58,110
11,64800,65280,58,70
11,65280,65760,58,70
14,65760,66240,53,110
14,66240,66720,53,70
13,66720,67200,54,70
14,67200,67680,53,90
14,67680,68160,53,90
13,68160,68640,54,110
14,68640,69120,53,90
10,69120,69600,59,110
10,69600,70080,59,70
10,70080,70560,59,90
10,70560,71040,59,110
10,71040,71520,59,90
11,71520,72000,58,90
9,72000,72480,62,110
9,72480,72960,62,110
10,72960,73440,59,70
10,73440,73920,59,90
11,73920,74400,58,90
10,74400,74880,59,70
10,74880,75360,59,70
12,75360,75840,56,90
10,75840,76320,59,90
9,76320,76800,62,90
10,76800,77280,59,110
12,77280,77760,56,90
11,77760,78240,58,110
12,78240,78720,56,70
12,78720,79200,56,90
12,79200,79680,56,110
12,79680,80160,56,110
10,80160,80640,59,70
9,80640,81120,62,90
10,81120,81600,59,110
9,81600,82080,62,70
10,82080,82560,59,90
7,82560,83040,65,110
7,83040,83520,65,110
8,83520,84000,63,90
10,84000,84480,59,90
12,84480,84960,56,90
11,84960,85440,58,110
14,85440,85920,53,90
13,85920,86400,54,110
11,86400,86880,58,90
10,86880,87360,59,70
10,87360,87840,59,90
10,87840,88320,59,110
11,88320,88800,58,110
12,88800,89280,56,110
10,89280,89760,59,90
8,89760,90240,63,110
7,90240,90720,65,110
3,90720,91200,71,110
6,91200,91680,66,70
8,91680,92160,63,90
10,92160,92640,59,70
9,92640,93120,62,70
8,93120,93600,63,90
7,93600,94080,65,90
8,94080,94560,63,90
10,94560,95040,59,70
9,95040,95520,62,90
7,95520,96000,65,70
6,96000,96480,66,90
6,96480,96960,66,110
